Time,Balance
Thu Dec 28 2017 12:07:40 GMT-0500 (Eastern Standard Time),0.0949210359775895
Thu Dec 28 2017 12:08:40 GMT-0500 (Eastern Standard Time),0.09493954534241583
Thu Dec 28 2017 12:09:40 GMT-0500 (Eastern Standard Time),0.09494021482953685
Thu Dec 28 2017 12:10:40 GMT-0500 (Eastern Standard Time),0.09495873044409528
Thu Dec 28 2017 12:11:40 GMT-0500 (Eastern Standard Time),0.09495864821693015
Thu Dec 28 2017 12:12:40 GMT-0500 (Eastern Standard Time),0.09494003499303885
Thu Dec 28 2017 12:13:40 GMT-0500 (Eastern Standard Time),0.09492111245799478
Thu Dec 28 2017 12:14:40 GMT-0500 (Eastern Standard Time),0.09540136041198491
Thu Dec 28 2017 12:15:40 GMT-0500 (Eastern Standard Time),0.0954234445392922
Thu Dec 28 2017 12:16:40 GMT-0500 (Eastern Standard Time),0.09542356309220296
Thu Dec 28 2017 12:17:40 GMT-0500 (Eastern Standard Time),0.09542339416219454
Thu Dec 28 2017 12:18:40 GMT-0500 (Eastern Standard Time),0.09542683604325983
Thu Dec 28 2017 12:19:40 GMT-0500 (Eastern Standard Time),0.09542708096530361
Thu Dec 28 2017 12:20:40 GMT-0500 (Eastern Standard Time),0.09542696210823697
Thu Dec 28 2017 12:21:40 GMT-0500 (Eastern Standard Time),0.09542688992541896
Thu Dec 28 2017 12:22:40 GMT-0500 (Eastern Standard Time),0.09542701243098979
Thu Dec 28 2017 12:23:41 GMT-0500 (Eastern Standard Time),0.09542701243098979
Thu Dec 28 2017 12:24:40 GMT-0500 (Eastern Standard Time),0.09542664847894226
Thu Dec 28 2017 12:25:40 GMT-0500 (Eastern Standard Time),0.09542677071256199
Thu Dec 28 2017 12:26:41 GMT-0500 (Eastern Standard Time),0.09542688992541896
Thu Dec 28 2017 12:27:40 GMT-0500 (Eastern Standard Time),0.09542706274835344
Thu Dec 28 2017 12:28:40 GMT-0500 (Eastern Standard Time),0.09544848557087822
Thu Dec 28 2017 12:29:40 GMT-0500 (Eastern Standard Time),0.09542747845901575
Thu Dec 28 2017 12:30:40 GMT-0500 (Eastern Standard Time),0.09542730826590397
Thu Dec 28 2017 12:31:40 GMT-0500 (Eastern Standard Time),0.09542718543539323
Thu Dec 28 2017 12:32:41 GMT-0500 (Eastern Standard Time),0.09540643960351962
Thu Dec 28 2017 12:33:41 GMT-0500 (Eastern Standard Time),0.09538605060412904
Thu Dec 28 2017 12:34:41 GMT-0500 (Eastern Standard Time),0.09540704951048161
Thu Dec 28 2017 12:35:40 GMT-0500 (Eastern Standard Time),0.09540418378077234
Thu Dec 28 2017 12:36:41 GMT-0500 (Eastern Standard Time),0.09536324688917035
Thu Dec 28 2017 12:37:40 GMT-0500 (Eastern Standard Time),0.09536319624903285
Thu Dec 28 2017 12:38:41 GMT-0500 (Eastern Standard Time),0.09538393919233674
Thu Dec 28 2017 12:39:41 GMT-0500 (Eastern Standard Time),0.0953870579529857
Thu Dec 28 2017 12:40:40 GMT-0500 (Eastern Standard Time),0.09542848456470675
Thu Dec 28 2017 12:41:41 GMT-0500 (Eastern Standard Time),0.09546339981772906
Thu Dec 28 2017 12:42:41 GMT-0500 (Eastern Standard Time),0.09540022468523823
Thu Dec 28 2017 12:43:40 GMT-0500 (Eastern Standard Time),0.09542157245659719
Thu Dec 28 2017 12:44:40 GMT-0500 (Eastern Standard Time),0.09542174577740153
Thu Dec 28 2017 12:45:40 GMT-0500 (Eastern Standard Time),0.09465250809607516
